index,CAMIS,DBA,PHONE,loc,INSPECTION DATE,GRADE,new_grade,yelp_rating,yelp_categories,yelp_review_count,goog_lat,goog_lng
50,50063019,SO BRO CAFE,7186764080,"473 E 146TH ST, BRONX, 10455",2017-04-12,Not Yet Graded,B,,,,40.8131579,-73.91639599999998
51,50063017,MINETTA LANE THEATRE,2128716834,"18 MINETTA LN, MANHATTAN, 10012",1900-01-01,,,3.5,"[u'theater', u'movietheaters']",34.0,40.730467600000004,-74.0011895
52,50063015,COOL FRESH JUICE BAR INC,6467569928,"333 6TH AVE, MANHATTAN, 10014",1900-01-01,,,,,,40.7314065,-74.0011944
53,50063012,TONYS CAFE,9292225466,"211 W 231ST ST, BRONX, 10463",1900-01-01,,,3.5,"[u'cafes', u'newamerican']",3.0,40.8791802,-73.90530279999999
54,50063001,BAKED CRAVINGS,9174823887,"1673 LEXINGTON AVE, MANHATTAN, 10029",1900-01-01,,,5.0,"[u'cupcakes', u'coffee', u'bakeries']",1.0,40.79146970000001,-73.94686800000001
55,50062995,TRENDZ,9174174796,"8906 DITMAS AVE, BROOKLYN, 11236",1900-01-01,,,,,,40.647564,-73.91507
56,50062987,BREAD AND SPREAD,7187577034,"42 BROADWAY, MANHATTAN, 10004",1900-01-01,,,,,,40.7059797,-74.01260289999998
57,50062985,SHIPWRECKED MINIATURE GOLF,7188524653,"619 COURT ST, BROOKLYN, 11231",2017-04-14,Not Yet Graded,A,4.5,[u'mini_golf'],79.0,40.6710273,-74.00113580000001
58,50062984,STARBUCKS COFFEE,2126159700,"2 WORLD TRADE CENTER, MANHATTAN, 10007",1900-01-01,,,3.5,[u'coffee'],32.0,40.71217120000001,-74.0108243
59,50062978,SEBASTIANS CAFE,7324395242,"5503 METROPOLITAN AVE, QUEENS, 11385",1900-01-01,,,,,,40.71326699999999,-73.908676
60,50062967,J LOFT,3473329824,"1055 E 45TH ST, BROOKLYN, 11203",1900-01-01,,,,,,40.635360999999996,-73.933189
61,50062955,LA ESQUINA DEL SALMON,6467323978,"3379 BROADWAY, MANHATTAN, 10031",1900-01-01,,,,,,40.821431200000006,-73.95448470000001
62,50062946,WILMA JEAN,9176859260,"42 BROADWAY, MANHATTAN, 10004",1900-01-01,,,,,,40.7059797,-74.01260289999998
63,50062943,ROSALIA PIZZA,7184590300,"10315 QUEENS BLVD, QUEENS, 11375",1900-01-01,,,,,,40.72474329999999,-73.8496397
64,50062941,DU'S DONUTS AND COFFEE,7182158770,"107 N 12TH ST, BROOKLYN, 11249",1900-01-01,,,,,,40.7221862,-73.9573027
65,50062931,THE CROWN ROOM,6464206124,"3917 BELL BLVD, QUEENS, 11361",1900-01-01,,,4.0,[u'lounges'],14.0,40.7648386,-73.7713548
66,50062921,LIFE RESTAURANT,2125017125,"19 W 31ST ST, MANHATTAN, 10001",1900-01-01,,,3.5,"[u'tradamerican', u'bars', u'irish']",115.0,40.7524277,-73.9999383
67,50062920,SUBWAY,7186120691,"8704 ASTORIA BLVD, QUEENS, 11369",1900-01-01,,,3.5,"[u'hotdogs', u'sandwiches']",2.0,40.763853600000004,-73.8819333
68,50062915,COCO FRESH TEA & JUICE,3477324797,"18204 HORACE HARDING EXPY, QUEENS, 11365",1900-01-01,,,,,,40.7389789,-73.79157219999998
69,50062913,CHICKY'S ON 86,9176985560,"355 E 86TH ST, MANHATTAN, 10028",1900-01-01,,,3.0,"[u'bbq', u'newamerican']",49.0,40.7770619,-73.9498373
70,50062912,ZAWA JAPANESE,6466781756,"354 E 66TH ST, MANHATTAN, 10065",1900-01-01,,,,,,40.76405570000001,-73.95922759999998
71,50062911,NAGLE'S BAGELS,9175452512,"728 FRANKLIN AVE, BROOKLYN, 11238",1900-01-01,,,3.0,"[u'coffee', u'bagels', u'sandwiches']",60.0,40.6737258,-73.9568637
72,50062908,NOODLES 28,2126792888,"417 3RD AVE, MANHATTAN, 10016",1900-01-01,,,3.0,"[u'chinese', u'noodles', u'vietnamese']",160.0,40.7427549,-73.98027809999998
73,50062903,WAHLBURGERS,2129862220,"1633 2ND AVE, MANHATTAN, 10028",1900-01-01,,,,,,40.7771099,-73.95234529999998
74,50062900,LIFE HEALTH FITNESS,7183570300,"1024 154TH ST, QUEENS, 11357",1900-01-01,,,4.5,[u'gyms'],15.0,40.7925239,-73.80719690000001
75,50062897,AMPLE HILLS BBP,7186436961,"300 FURMAN ST, BROOKLYN, 11201",1900-01-01,,,,,,40.696913,-73.99973
76,50062886,HI LUCK RESTAURANT,7184652777,"9049 SPRINGFIELD BLVD, QUEENS, 11428",1900-01-01,,,,,,40.7256454,-73.7402573
77,50062880,ONE LENOX,2128048464,"1113 1ST AVE, MANHATTAN, 10065",1900-01-01,,,,,,40.7609581,-73.96099319999998
78,50062879,STARBUCKS COFFEE COMPANY STORE # 49814,2126159700,"74 7TH AVE, MANHATTAN, 10011",1900-01-01,,,,,,40.7391284,-73.99926769999998
79,50062861,DIWAN GRILL,7182307852,"678 FRANKLIN AVE, BROOKLYN, 11238",1900-01-01,,,,,,40.6752969,-73.95630369999998
80,50062849,ASHDAN'S YOGURT CAFE OF PALM BEACHES,9174727335,"1143 2ND AVE, MANHATTAN, 10065",1900-01-01,,,,,,40.761465799999996,-73.964057
81,50062848,CLAY POT NYC,6464346449,"58 SAINT MARKS PL, MANHATTAN, 10003",1900-01-01,,,,,,40.727915,-73.98665799999998
82,50062846,LA IGUANA AZUL MEXICAN MARKET,7189484719,"14 GIFFORDS LN, STATEN ISLAND, 10308",1900-01-01,,,,,,40.5510915,-74.150459
83,50062844,JUNZI KITCHEN,9172612497,"2896 BROADWAY, MANHATTAN, 10025",1900-01-01,,,,,,40.8057705,-73.9649656
84,50062835,87ST DELI INC,2128314384,"1665 1ST AVE, MANHATTAN, 10028",1900-01-01,,,,,,40.7774171,-73.94898459999999
85,50062824,ERQAL,6466654595,"13620 ROOSEVELT AVE, QUEENS, 11354",1900-01-01,,,,,,40.7593211,-73.8290528
86,50062821,DALLAS BBQ,2127729393,"8914 PARSONS BLVD, QUEENS, 11432",1900-01-01,,,,,,40.7055443,-73.80154089999998
87,50062819,THE SOSTA,2123292693,"52 KENMARE ST, MANHATTAN, 10012",1900-01-01,,,,,,40.7206464,-73.9954979
88,50062815,NAPOLI PIZZA,7183380328,"2274 NOSTRAND AVE, BROOKLYN, 11210",1900-01-01,,,3.5,[u'pizza'],19.0,40.629332899999994,-73.94734849999998
89,50062803,FRESH & CO,2128737374,"1381 6TH AVE, MANHATTAN, 10019",1900-01-01,,,,,,40.7638724,-73.97780399999998
90,50062799,KES SALAO RESTAURANT,9292599392,"300 E TREMONT AVE, BRONX, 10457",2017-04-11,Not Yet Graded,B,,,,40.848489,-73.90318590000001
91,50062791,EL BOQUERON RESTAURANT,7189560107,"3101 34TH AVE, QUEENS, 11106",2017-04-13,Not Yet Graded,B,4.0,"[u'spanish', u'tapas', u'latin']",144.0,40.7597852,-73.92689910000001
92,50062787,VILLAGE EXPRESS ASIAN CUISINE,6465528077,"33 BARROW ST, MANHATTAN, 10014",1900-01-01,,,4.0,"[u'tapasmallplates', u'asianfusion', u'dimsum']",270.0,40.7322868,-74.0032653
93,50062779,JAPANESE KITCHEN & SAKE BAR METHOD,9178059030,"746 10TH AVE, MANHATTAN, 10019",1900-01-01,,,4.0,[u'ramen'],739.0,40.76505230000001,-73.9912028
94,50062755,UCHU,6465916767,"217 ELDRIDGE ST, MANHATTAN, 10002",1900-01-01,,,,,,40.7216929,-73.9901691
95,50062750,OVENLY,3476300527,"210 FLATBUSH AVE, BROOKLYN, 11217",1900-01-01,,,,,,40.681310100000005,-73.9754566
96,50062748,CHIPOTLE MEXICAN GRILL #2879,3032222524,"347 FLATBUSH AVE, BROOKLYN, 11238",1900-01-01,,,,,,40.677193,-73.97217490000001
97,50062747,CHIPOTLE MEXICAN GRILL #2570,3033905620,"2940 CROPSEY AVE, BROOKLYN, 11214",1900-01-01,,,,,,40.58331870000001,-73.9865267
98,50062743,BULBAP GRILL,7183833663,"646 MANHATTAN AVE, BROOKLYN, 11222",1900-01-01,,,,,,40.7242571,-73.951071
99,50062741,LA ROMANA PIZZERIA,718 384 2269,"755 GRAND ST, BROOKLYN, 11211",1900-01-01,,,,,,40.711920899999996,-73.94290780000001
100,50062740,SARITAS BAKERY,7184434414,"9412 CORONA AVE, QUEENS, 11373",2017-04-06,Not Yet Graded,C,2.0,"[u'bakeries', u'cafeteria']",7.0,40.742131,-73.8696962
101,50062739,EJEN,3106345593,"254 36TH ST, BROOKLYN, 11232",1900-01-01,,,,,,40.656090500000005,-74.0074913
102,50062738,BYO BAR,7185958192,"0 126 STREET, QUEENS, 11368",1900-01-01,,,,,,40.7549381,-73.8430077
103,50062737,THE JIM BEAM BOURBON BAR,7185958192,"0 126 STREET, QUEENS, 11368",1900-01-01,,,,,,40.7549381,-73.8430077
104,50062733,TOM AND JOANS WHISKEY BAR,7183835336,"437 GRAHAM AVE, BROOKLYN, 11211",1900-01-01,,,,,,40.718238299999996,-73.94499180000003
105,50062721,JG STEAKHOUSE,7189755060,"902 KINGS HWY, BROOKLYN, 11223",1900-01-01,,,4.5,"[u'mideastern', u'kosher', u'steak']",6.0,40.606567999999996,-73.9635349
106,50062717,ALEXIS CRUZ,9173700772,"1756 E 174TH ST, BRONX, 10472",1900-01-01,,,,,,40.8346513,-73.86926559999998
107,50062711,THE HEART,7182151171,"2011 WESTCHESTER AVE, BRONX, 10462",1900-01-01,,,,,,40.8335994,-73.85725090000001
108,50062710,ROSINA,2122884400,"1690 YORK AVE, MANHATTAN, 10128",1900-01-01,,,3.5,[u'italian'],44.0,40.7777044,-73.9458428
109,50062685,POPINA,6789490544,"127 COLUMBIA ST, BROOKLYN, 11231",1900-01-01,,,,,,40.6650834,-74.0122184
110,50062677,ESTERINA SORBILLO,9172148610,"112 MULBERRY ST, MANHATTAN, 10013",1900-01-01,,,,,,40.7175182,-73.99833970000002
111,50062676,FIFTEEN CENTRAL PARK WEST CONDOMINIUM,2648861467,"15 CENTRAL PARK W, MANHATTAN, 10023",1900-01-01,,,5.0,[u'condominiums'],1.0,40.76977979999999,-73.9810253
112,50062674,PIZZA MARKET,9173749161,"31 W 46TH ST, MANHATTAN, 10036",1900-01-01,,,,,,40.75659659999999,-73.9803562
113,50062671,SETSUGEKKA,3472397944,"74 E 7TH ST, MANHATTAN, 10003",1900-01-01,,,,,,40.72731479999999,-73.9865861
114,50062670,RAW MKT,2127770940,"61 E 8TH ST, MANHATTAN, 10003",1900-01-01,,,,,,40.731066799999994,-73.99324969999998
115,50062669,AMELIE WINE BAR,4153104853,"566 AMSTERDAM AVE, MANHATTAN, 10024",1900-01-01,,,,,,40.7886398,-73.9743485
116,50062667,RED MANGO #0484,3474084197,"6115 SPRINGFIELD BLVD, QUEENS, 11364",1900-01-01,,,,,,40.74860169999999,-73.7560881
117,50062665,JAIR FOODS INC & LAWRENCE FOODS  INC,,"000 AMERICAN AIR, JFK AIRPORT, TER, QUEENS, 11434",1900-01-01,,,,,,,
118,50062663,JAIR FOODS INC & LAWRENCE FOODS INC,6465334694,"000 JFK INTL AIRPORT  TERMINAL 4, QUEENS, 11430",1900-01-01,,,,,,40.6439568,-73.7823317
119,50062660,THAISM,7188340505,"278 SMITH ST, BROOKLYN, 11231",1900-01-01,,,3.5,[u'thai'],76.0,40.682407899999994,-73.9933897
120,50062655,GO GO CURRY,2122554555,"114 W 19TH ST, MANHATTAN, 10011",1900-01-01,,,,,,40.74076609999999,-73.9953438
121,50062650,SERENITY ADULT DAY CARE,7188490300,"11940 METROPOLITAN AVE, QUEENS, 11415",2017-03-23,Not Yet Graded,C,,,,40.70574439999999,-73.8304564
122,50062648,TGI FRIDAY 2838,9726625400,"3181 HARKNESS AVE, BROOKLYN, 11235",1900-01-01,,,,,,40.586603100000005,-73.92890940000001
123,50062645,TGI FRIDAYS 2837,9726625400,"7000 AUSTIN ST, QUEENS, 11375",1900-01-01,,,,,,40.721129299999994,-73.84742890000001
124,50062639,FOOD FOR THOUGHT THE CARIBBEAN EXPERIENCE,3475339735,"75 KINGSTON AVE, BROOKLYN, 11213",2017-04-12,Not Yet Graded,A,,,,40.677413,-73.94144179999999
125,50062635,TABLE 87 PIZZA,9177489102,"254 36TH ST, BROOKLYN, 11232",1900-01-01,,,3.5,"[u'mexican', u'diners', u'greek']",33.0,40.656090500000005,-74.0074913
126,50062609,BLAZE PIZZA,6315678200,"2590 HYLAN BLVD, STATEN ISLAND, 10306",1900-01-01,,,,,,40.5681594,-74.11198
127,50062605,CLOVER GROCERY,2122236432,"259 AVENUE OF AMERICAS, MANHATTAN, 10004",1900-01-01,,,,,,40.72905,-74.00251170000001
128,50062592,SBARRO LLC,6145260944,"885 8TH AVE, MANHATTAN, 10019",1900-01-01,,,,,,40.764118100000005,-73.98508679999998
129,50062588,CROWN FRIED CHICKEN,7186496444,"417 NEW LOTS AVE, BROOKLYN, 11207",1900-01-01,,,,,,40.662200399999996,-73.89225739999998
130,50062581,375 THRICE COOKED FRIES,6466827578,"124 LUDLOW ST, MANHATTAN, 10002",1900-01-01,,,,,,40.7196523,-73.9884113
131,50062573,FLORIAN @ LIRR JCC,6315678949,"9302 SUTPHIN BLVD, QUEENS, 11435",1900-01-01,,,,,,40.7005185,-73.80770190000001
132,50062567,BY SUZETTE,6467506217,"38 E 23RD ST, MANHATTAN, 10010",1900-01-01,,,,,,40.7405638,-73.9872671
133,50062563,EL ESPINO RESTAURANT,7187654144,"5817 4TH AVE, BROOKLYN, 11220",2017-04-07,Not Yet Graded,A,,,,40.641582899999996,-74.01755059999998
134,50062555,CELEBRATE SNUG HARBOR,2122281672,"1000 RICHMOND TER, STATEN ISLAND, 10301",1900-01-01,,,3.5,[u'venues'],12.0,40.6426309,-74.10191739999998
135,50062554,LA CASA DEL POLLO INC,3472062367,"4231 BROADWAY, MANHATTAN, 10033",1900-01-01,,,,,,40.849365899999995,-73.93697039999998
136,50062538,259 LOLY RESTAURANT,9179823182,"259 E 172ND ST, BRONX, 10457",2017-04-14,Not Yet Graded,C,,,,40.8404456,-73.91060290000001
137,50062536,BLUE DOG,6466699507,"112 E 23RD ST, MANHATTAN, 10010",1900-01-01,,,3.5,"[u'southern', u'bbq']",1460.0,40.73991289999999,-73.98570959999998
138,50062530,MARKET CRATES,2126956922,"224 W 35TH ST, MANHATTAN, 10001",1900-01-01,,,,,,40.7518385,-73.99131299999998
139,50062525,SHELIA'S,9177218579,"412 COURT ST, BROOKLYN, 11231",1900-01-01,,,,,,40.680110799999994,-73.99698649999998
140,50062519,PRONTO PIZZA,2127324131,"141 FULTON ST, MANHATTAN, 10038",1900-01-01,,,4.0,[u'pizza'],1.0,40.7105419,-74.00790079999999
141,50062503,COFFEE BAR,5167790787,"200 WEST ST, MANHATTAN, 10282",1900-01-01,,,,,,40.7148544,-74.0144968
142,50062488,SOHO PARK,9175434557,"832 8TH AVE, MANHATTAN, 10019",1900-01-01,,,,,,40.76234300000001,-73.98571299999998
143,50062487,MUGHLAI,3476128740,"6 CLINTON ST, MANHATTAN, 10002",1900-01-01,,,4.0,[u'indpak'],1.0,40.7210905,-73.98404459999998
144,50062476,CHUKO,2039128009,"144 EVERGREEN AVE, BROOKLYN, 11206",1900-01-01,,,,,,40.699156,-73.93170099999998
145,50062463,FOODIES RESTAURANT,3478639634,"1039 BELMONT AVE, BROOKLYN, 11208",2017-04-12,Not Yet Graded,A,,,,40.674417,-73.87084200000001
146,50062461,VENDOME CAFE,7189284110,"360 FURMAN ST, BROOKLYN, 11201",1900-01-01,,,4.0,"[u'macarons', u'coffee', u'beer_and_wine']",10.0,40.693485700000004,-73.9996652
147,50062457,CHILSUNG GARDEN,7185619226,"22128 HORACE HARDING EXPY, QUEENS, 11364",1900-01-01,,,,,,40.7490844,-73.75528299999998
148,50062450,CAFE 21 (entrance is between 60TH & 61st Street on Hudson),9178734325,"21 W END AVE, MANHATTAN, 10023",2017-04-06,,,,,,40.7727454,-73.99049000000001
149,50062439,CHILLAX AND RELAX,3476277602,"492 NOSTRAND AVE, BROOKLYN, 11216",2017-04-05,Not Yet Graded,C,,,,40.6820262,-73.94990469999998
150,50062438,L.A. SWEETSNY,6469645855,"192 LENOX AVE, MANHATTAN, 10026",2017-04-05,Not Yet Graded,A,5.0,"[u'cupcakes', u'customcakes']",2.0,40.8043326,-73.94791010000002
151,50062426,NOURISH,6466969805,"637A VANDERBILT AVE, BROOKLYN, 11238",1900-01-01,,,,,,40.677858,-73.968451
152,50062409,URBY EATS,3479839347,"7 NAVY PIER CT, STATEN ISLAND, 10304",1900-01-01,,,,,,40.6288895,-74.07423809999999
153,50062391,EMERATIS LOUNGE,2123732423,"0 JFK INTERNATIONAL AIRPORT, QUEENS, 11430",1900-01-01,,,,,,40.6413111,-73.77813909999998
154,50062385,STARBUCKS COFFEE,2126159732,"475 PARK AVE S, MANHATTAN, 10016",1900-01-01,,,3.5,[u'coffee'],87.0,40.7453718,-73.9821073
155,50062379,NODE1 LLC,3052817801,"31 W 14TH ST, MANHATTAN, 10011",1900-01-01,,,,,,40.7366842,-73.99521990000001
156,50062378,BAR MOGA,4126088668,"128 W HOUSTON ST, MANHATTAN, 10012",1900-01-01,,,,,,40.72787,-74.00106699999998
157,50062377,LITTLE ALLEY,6465785088,"550 3RD AVE, MANHATTAN, 10016",1900-01-01,,,,,,40.7474,-73.97722019999998
158,50062365,H-YARD GOURMET DELI,5592746258,"450 9TH AVE, MANHATTAN, 10018",1900-01-01,,,2.0,[u'delis'],1.0,40.7541823,-73.9957495
159,50062351,BUDDA,6462039735,"1353 EDWARD L GRANT HWY, BRONX, 10452",1900-01-01,,,2.5,"[u'hookah_bars', u'lounges']",35.0,40.8402141,-73.9217213
160,50062350,EAST COAST FOODIES,9172255621,"3290 36TH ST, QUEENS, 11106",1900-01-01,,,,,,40.758019299999994,-73.92332689999998
161,50061577,DARKSTAR COFFEE,2129791273,"2 GREAT JONES ST, MANHATTAN, 10012",1900-01-01,,,,,,40.7277579,-73.99416009999999
162,50061574,LA GRAN CABANA RESTAURANT CORP,5188880159,"856 KNICKERBOCKER AVE, BROOKLYN, 11207",1900-01-01,,,,,,40.691632500000004,-73.90574129999999
163,50061573,THE LONDON NYC,2024576563,"151 W 54TH ST, MANHATTAN, 10019",1900-01-01,,,4.0,[u'hotels'],215.0,40.7635061,-73.9806361
164,50061571,THE LONDON NYC,2124688848,"151 W 54TH ST, MANHATTAN, 10019",1900-01-01,,,4.0,[u'hotels'],215.0,40.7635061,-73.9806361
165,50061570,MILK BAR FINANCIAL DISTRICT,3475779504,"110 WALL ST, MANHATTAN, 10005",2017-04-12,Not Yet Graded,C,4.5,"[u'desserts', u'coffee']",2.0,40.7049122,-74.00639679999998
166,50061569,THE LONDON NYC,2124688848,"151 W 54TH ST, MANHATTAN, 10019",1900-01-01,,,4.0,[u'hotels'],215.0,40.7635061,-73.9806361
167,50061559,Metropolitan Weddings,9174953797,"4401 11TH ST, QUEENS, 11101",1900-01-01,,,4.5,[u'venues'],26.0,40.749713,-73.948972
168,50061539,TOBY'S PUBLIC HOUSE,9174504988,"215 COLUMBIA ST, BROOKLYN, 11231",1900-01-01,,,,,,40.665044099999996,-74.01254689999998
